surface	reading	meaning	frequency_rank	jlpt_level	part_of_speech
気味	きみ	sensation; feeling; tendency; propensity	3202	N3	n
大半	たいはん	majority; more than half; most (of); mostly; largely; mainly; predominately; nearly	3204	N3	n
社内	しゃない	within a company; in-house; within a shrine; shrine precincts	3205		adj-no
調達	ちょうたつ	supply; provision; raising; procurement	3207		n
担う	になう	to carry on one's shoulder; to shoulder; to bear; to bear (a burden, responsibility, etc.); to take upon oneself	3209	N1	v5u
正義	せいぎ	justice; right; righteousness; correct meaning; correct explanation	3210	N1	n
世帯	せたい	household; family	3213	N1	n
葬送	そうそう	attending a funeral procession; seeing off the deceased; burial of someone's remains; observing a burial	3215		n
審判	しんぱん	judgement; judgment; decision; verdict; sentence; refereeing; umpiring; judging	3216	N3	n
食らう	くらう	to eat; to drink; to wolf; to knock back; to receive (e.g. a blow)	3217		v5u
大戦	たいせん	great war; great battle; world war	3218	N3	n
間違える	まちがえる	to make a mistake (in); to commit an error; to get wrong; to do incorrectly; to mistake (one thing for another); to confuse	3219	N4	v1
教材	きょうざい	teaching materials	3220	N1	n
阪神	はんしん	Osaka-Kobe; Hanshin (company name: railway, dept. store, baseball team, etc.)	3221		n
外務省	がいむしょう	Ministry of Foreign Affairs	3222		n
制定	せいてい	enactment; establishment; creation	3225	N1	n
才能	さいのう	talent; ability	3226	N3	n
発明	はつめい	invention; intelligent; clever; smart	3227	N3	n
その内	そのうち	before very long; soon; someday; one of these days; sooner or later; of the previously mentioned; of that number; among them; among others	3228	N3	exp
幸福	こうふく	happiness; well-being; joy; welfare; blessedness	3230	N3	n
通知	つうち	notice; notification; report; posting; notification (on a smartphone, PC, etc.)	3231	N2	n
体力	たいりょく	physical strength; power; stamina; endurance; vigor; resistance to disease; strength (of a business, economy, etc.)	3233	N1	n
見直す	みなおす	to look at again; to re-examine (policy, estimate, plan, etc.); to review	3234	N2	v5s
地上	ちじょう	above ground; on the ground; earth's surface; this world; this earth	3240		n
通勤	つうきん	commuting to work	3241	N2	n
反論	はんろん	objection; refutation; rebuttal; counterargument	3242		n
味わう	あじわう	to taste; to savor; to savour; to relish; to appreciate; to enjoy; to digest	3246	N2	v5u
幅広い	はばひろい	extensive; wide; broad	3248		adj-i
正常	せいじょう	normal; regular	3250	N1	adj-na
人格	じんかく	personality; character; individuality; personhood	3251	N1	n
独特	どくとく	peculiarity; uniqueness; characteristic; understood only by oneself	3252	N3	n
意欲	いよく	will; desire; eagerness; interest; drive; motivation; urge; ambition	3253	N1	n
開放	かいほう	opening (a door, window, etc.); leaving open; opening up (e.g. to the public); allowing (public) access	3255	N2	n
中国人	ちゅうごくじん	Chinese person	3256		n
面積	めんせき	area (measurement); square measure; size (of land); floor space	3257	N2	n
熱心	ねっしん	zealous; enthusiastic; ardent; fervent; keen; eager	3258	N4	adj-na
注す	さす	to pour; to add (liquid); to serve (drinks); to put on (lipstick, etc.); to apply; to colour; to dye	3259	N2	v5s
差す	さす	to shine; to be visible	3259	N5	v5s
原子力	げんしりょく	atomic energy; nuclear power	3262		n
分離	ぶんり	separation; partition; detachment; segregation; isolation	3263	N1	n
段	だん	step; stair; rung; (flight of) steps; shelf; layer; tier	3264	N3	n
呼吸	こきゅう	breathing; respiration; knack; trick; secret (of doing something)	3265	N3	n
日程	にってい	schedule; program; programme; agenda	3266	N2	n
移す	うつす	to transfer (to a different place, group, etc.); to change; to move (something); to swap; to substitute; to relocate; to move to the next stage (of a plan, etc.)	3267	N3	v5s
最悪	さいあく	worst; horrible; horrid; awful; terrible	3268		adj-na
演技	えんぎ	acting; performance	3271	N3	n
好む	このむ	to like; to prefer	3273	N3	v5m
放置	ほうち	leaving as is; leaving alone; leaving unattended; neglecting; abandoning	3275	N1	n
保健	ほけん	preservation of health; hygiene; sanitation; health education (school subject)	3277	N2	n
改良	かいりょう	improvement; reform	3278	N1	n
集会	しゅうかい	meeting; assembly; gathering; congregation; convention; rally	3280	N2	n
何とも	なんとも	really; very; extremely; terribly; awfully; (not) anything; (not) at all; (not) a bit	3281	N2	adv
店員	てんいん	employee (of a store); shop assistant; clerk; salesperson	3282	N4	n
気軽	きがる	carefree; buoyant; lighthearted; sprightly; ease	3283	N1	adj-na
毎月	まいつき	every month; each month; monthly	3285	N5	adv
男の子	おとこのこ	boy; son; baby boy; young man	3286	N5	exp
分かれる	わかれる	to branch; to fork; to diverge; to separate; to split; to divide	3287	N2	v1
開示	かいじ	release (of information, documents, etc.); disclosure; display; discovery	3288		n
有する	ゆうする	to have; to possess; to own; to be endowed with	3291	N1	vs-s
悪化	あっか	deterioration; getting worse; worsening; aggravation; degeneration; corruption	3292	N1	n
両者	りょうしゃ	pair; the two; both persons; both things	3293		n
拡張	かくちょう	expansion; extension; enlargement; escape; ESC	3295	N2	n
在住	ざいじゅう	residing; living; dwelling	3297		n
選	せん	selection; choice; choosing; picking; election	3299		n
目次	もくじ	table of contents; contents	3300	N2	n
仏教	ぶっきょう	Buddhism	3302		n
引退	いんたい	retirement	3303	N3	n
名称	めいしょう	name; title	3305	N1	n
上位	じょうい	superior (in rank); top; ranking; higher order (e.g. byte)	3306	N1	n
無線	むせん	radio (communication); wireless; not using wires	3308	N1	n
近年	きんねん	recent years	3309		n
文献	ぶんけん	literature; books (reference); document	3310	N2	n
空く	すく	to become less crowded; to thin out; to get empty; to be hungry	3311	N4	v5k
引き続き	ひきつづき	continuously; continually; without a break; next; then; after that	3312		adv
不要	ふよう	unnecessary; unneeded	3313		adj-na
果たして	はたして	as was expected; just as one thought; sure enough; really; actually; ever	3314	N2	adv
就任	しゅうにん	assumption (of office); taking up (a post); inauguration; installation	3315	N2	n
椅子	いす	chair; seat; stool; bench; post; position; office	3316	N5	n
５日	いつか	5th day of the month; five days	3317	N5	n
上回る	うわまわる	to exceed (esp. figures: profits, unemployment rate, etc.); to surpass; to be more than; to be better than	3318	N1	v5r
有利	ゆうり	advantageous; favourable; better; stronger; profitable; lucrative; gainful; paying	3319	N3	adj-na
出現	しゅつげん	appearance; emergence; advent; arrival; showing up; coming to existence	3320		n
感心	かんしん	admiration; being impressed; admirable; praiseworthy	3322	N3	n
連中	れんちゅう	company; lot; people; bunch; gang; pack; guys; group; folks; troupe; company (of musicians)	3323	N1	n
心から	こころから	from the bottom of one's heart; heartily; sincerely	3325		adv
魔法	まほう	magic; witchcraft; sorcery; spell	3326		n
出産	しゅっさん	childbirth; (giving) birth; delivery; parturition; production (of goods)	3328	N1	n
家具	かぐ	furniture	3329	N3	n
課税	かぜい	taxation	3330	N2	n
関東	かんとう	Kantō (region comprising Tokyo and surrounding prefectures); Kantō (eastern half of Japan; during the feudal era)	3331	N2	n
業績	ぎょうせき	achievement; performance; results; work; contribution	3334	N1	n
車両	しゃりょう	(wheeled) vehicle; car; (railroad) car; (railway) carriage; rolling stock	3336		n
不可欠	ふかけつ	indispensable; essential	3337	N1	adj-na
関与	かんよ	participation; taking part in; participating in; being concerned in	3338	N1	n
月曜日	げつようび	Monday	3339	N5	n
得	とく	profit; advantage; benefit; gain; rebirth in paradise, entering nirvana	3340		adj-na
中学生	ちゅうがくせい	junior high school student; middle school pupil	3342		n
西洋	せいよう	the West; the Occident; Western countries	3346	N4	n
外す	はずす	to remove; to take off; to detach; to unfasten; to undo; to drop (e.g. from a team); to remove (from a position); to exclude; to expel	3348	N3	v5s
九州	きゅうしゅう	Kyūshū (southernmost of the four main islands of Japan)	3350		n
同時	どうじ	same time; simultaneous; concurrent; synchronous	3352	N3	n
思わず	おもわず	unconsciously; involuntarily; instinctively; reflexively; spontaneously; unintentionally; in spite of oneself	3355	N3	adv
真面目	まじめ	serious; earnest; sober; grave; honest; sincere	3356	N4	adj-na
学科	がっか	subject (of study); course of study; department (of a university)	3359	N2	n
衛生	えいせい	hygiene; sanitation; cleanliness; health; toilet; restroom; bathroom	3360	N1	n
中学校	ちゅうがっこう	junior high school; middle school; lower secondary school	3361	N4	n
大勢	おおぜい	crowd of people; great number of people; in great numbers	3362	N5	n
債務	さいむ	debt; liabilities; obligation to a person or party (usu. legal or contractual)	3365		n
断る	ことわる	to refuse; to reject; to dismiss; to turn down; to decline; to inform; to give notice; to ask in advance (and get approval); to get permission	3366	N3	v5r
同僚	どうりょう	coworker; co-worker; colleague; associate	3367	N3	n
持てる	もてる	to be able to possess (hold, get, etc.); to be well liked; to be popular; to be pampered (spoiled, doted upon, etc.); to be welcomed	3368	N1	v1
愛情	あいじょう	love; affection	3372	N3	n
余計	よけい	extra; more; too much; too many; excessive; superfluous; spare; surplus; unnecessary; needless; uncalled-for; unwanted; uninvited	3374	N2	adj-na
起動	きどう	startup; booting up; activation; starting (e.g. engine, computer); launch	3376		n
一見	いっけん	look; glimpse; glance; apparently; seemingly; at first glance; on the face of it	3377		n
配る	くばる	to distribute; to hand out; to deliver; to deal out; to serve out; to allot; to allocate; to place (staff, soldiers, etc.); to station	3379	N2	v5r
電源	でんげん	source of electricity; electrical power; power (button on TV, etc.)	3381	N1	n
疑い	うたがい	doubt; question; uncertainty; skepticism; scepticism; suspicion; distrust	3384		n
少数	しょうすう	small number; few; minority	3385	N1	n
署名	しょめい	signature; autograph	3386	N3	n
回避	かいひ	evasion; avoidance; recusal (of a judge)	3387		n
知り合い	しりあい	acquaintance	3388	N2	n
金持ち	かねもち	rich person; wealthy person	3389	N4	n
弁当	べんとう	bento; Japanese box lunch	3390	N3	n
格好	かっこう	shape; form; figure; posture; pose; appearance; style	3393	N4	n
平等	びょうどう	equality; impartiality; evenness	3395	N3	n
決断	けつだん	decision; determination	3399	N1	n
対抗	たいこう	opposition; rivalry; competition; antagonism	3400	N1	n
球	きゅう	sphere; globe; ball; bulb	3401	N3	n
行使	こうし	use; exercise (of one's right, authority, power, etc.)	3402		n
抑制	よくせい	control; restraint; suppression; constraint; curtailment; inhibition; check; curb	3403	N1	n
該当	がいとう	corresponding to; being applicable to; being relevant to; coming under; falling under; fulfilling (requirements); meeting (conditions); qualifying for	3405	N1	n
一連	いちれん	series; chain; sequence; two reams (i.e. 1000 sheets of paper)	3406	N1	n
認知	にんち	acknowledgement; acknowledgment; recognition; cognition	3407		n
衛星	えいせい	(natural) satellite; moon; (artificial) satellite	3408	N3	n
要	かなめ	pivot; vital point; cornerstone; keystone	3409		n
証人	しょうにん	witness	3412	N1	n
今や	いまや	now (esp. in contrast to the past); now at last; at present; right now	3413		adv
通過	つうか	passing through (a tunnel, station, town, etc.); passing by (e.g. of a typhoon); transit; passage (of a bill, e.g. through parliament); carriage	3418	N3	n
他者	たしゃ	another person; others	3419		n
現金	げんきん	cash; ready money; money on hand; currency; mercenary; self-interested; calculating	3420	N3	n
